City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Cayenne,GF,2022-07-17 00:48:33,4.9333,-52.3333,82.09,1,20,1.01
262,Kaitangata,NZ,2022-07-17 00:48:33,-46.2817,169.8464,45.14,70,100,4.68
263,Husavik,IS,2022-07-17 00:48:33,66.0449,-17.3389,50.27,94,100,4.36
264,Erenhot,CN,2022-07-17 00:48:34,43.6475,111.9767,71.11,40,0,14.92
265,Saint-Leu,RE,2022-07-17 00:48:34,-21.15,55.2833,67.03,74,8,11.7
266,Ginda,IN,2022-07-17 00:48:34,30.6945,78.4932,67.28,88,61,1.77
267,Bengkulu,ID,2022-07-17 00:48:35,-3.8004,102.2655,78.19,78,89,3.27
268,Jurado,CO,2022-07-17 00:48:35,7.1053,-77.7641,77.83,89,100,2.04
269,Lulea,SE,2022-07-17 00:48:35,65.5842,22.1547,51.87,100,100,2.3
270,Thrissur,IN,2022-07-17 00:48:36,10.5167,76.2167,75.18,94,100,0.74
271,Marrakesh,MA,2022-07-17 00:45:08,31.6315,-8.0083,80.67,54,40,8.05
272,Viransehir,TR,2022-07-17 00:48:36,37.2353,39.7631,82.17,31,0,2.33
273,Bambous Virieux,MU,2022-07-17 00:48:36,-20.3428,57.7575,70.05,73,75,11.5
274,Shimoda,JP,2022-07-17 00:48:37,34.6667,138.95,79.11,83,26,9.69
275,Norman Wells,CA,2022-07-17 00:48:37,65.282,-126.8329,68.04,56,75,16.11
276,Mount Isa,AU,2022-07-17 00:48:37,-20.7333,139.5,71.37,37,0,3.44
277,Poronaysk,RU,2022-07-17 00:48:38,49.2167,143.1167,57.38,83,100,6.76
278,San Patricio,US,2022-07-17 00:48:38,28.017,-97.5169,90.18,52,0,13.27
279,Shingu,JP,2022-07-17 00:46:04,33.7333,135.9833,82.56,74,6,3.58
280,Margate,GB,2022-07-17 00:49:38,51.3813,1.3862,64.9,84,100,4.0
281,Nhulunbuy,AU,2022-07-17 00:49:39,-12.2333,136.7667,77.61,69,40,14.97
282,Adrar,MR,2022-07-17 00:49:39,20.5022,-10.0711,94.01,9,1,13.51
283,Bagaha,IN,2022-07-17 00:49:39,27.1,84.0833,87.4,65,13,8.93
284,Ifo,NG,2022-07-17 00:49:40,6.8144,3.1958,73.53,93,99,4.81
285,Severo-Kurilsk,RU,2022-07-17 00:49:40,50.6789,156.125,55.78,90,99,2.75
286,Verkhnyaya Inta,RU,2022-07-17 00:49:40,65.9811,60.3094,62.58,72,100,11.61
287,Nemuro,JP,2022-07-17 00:49:41,43.3236,145.575,62.31,98,100,23.76
288,Yei,SS,2022-07-17 00:49:41,4.095,30.6779,66.07,95,88,3.51
289,San Angelo,US,2022-07-17 00:46:10,31.4638,-100.437,98.82,30,20,3.0
290,Leopold,AU,2022-07-17 00:49:41,-38.1833,144.4667,55.06,85,75,18.41
291,Tres Arroyos,AR,2022-07-17 00:49:42,-38.3739,-60.2798,36.05,69,0,8.48
292,Taoudenni,ML,2022-07-17 00:49:42,22.6783,-3.9836,102.02,19,99,12.19
293,Kaoma,ZM,2022-07-17 00:49:42,-14.7833,24.8,48.6,65,0,5.88
