City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Bembereke,BJ,10.2283,2.6634,67.59,95,55,6.78,broken clouds
295,Nanortalik,GL,60.1432,-45.2371,46.85,95,99,9.73,overcast clouds
296,Yining,CN,29.0361,114.5636,91.47,62,56,6.06,broken clouds
297,Hamilton,US,39.1834,-84.5333,82.83,71,0,5.75,clear sky
298,Esperance,AU,-33.8667,121.9,57.9,74,96,13.58,overcast clouds
299,Cherskiy,RU,68.75,161.3,46.11,60,86,11.88,overcast clouds
300,Chapais,CA,49.7834,-74.8492,55.6,77,23,5.53,few clouds
301,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.83,90,93,1.03,overcast clouds
302,Kavieng,PG,-2.5744,150.7967,83.19,73,100,10.13,light rain
303,North Bend,US,43.4065,-124.2243,75.24,92,100,11.5,mist
304,Skerries,IE,53.5828,-6.1083,61.0,73,97,14.9,overcast clouds
305,Salinopolis,BR,-0.6136,-47.3561,78.44,84,99,10.13,overcast clouds
306,Noshiro,JP,40.2039,140.0242,77.83,80,31,12.55,scattered clouds
307,Kribi,CM,2.95,9.9167,73.9,88,98,8.03,light rain
308,Tabou,CI,4.423,-7.3528,74.39,70,77,7.99,broken clouds
309,Bajil,YE,15.0584,43.2851,90.77,35,100,5.12,overcast clouds
310,Poum,NC,-20.2333,164.0167,76.28,83,100,7.11,overcast clouds
311,Olafsvik,IS,64.8945,-23.7142,50.68,81,58,11.95,broken clouds
312,Saint Anthony,US,45.0205,-93.218,83.35,41,0,17.27,clear sky
313,Mogadishu,SO,2.0371,45.3438,75.06,77,100,18.25,overcast clouds
314,Montpellier,FR,43.6109,3.8772,76.57,74,1,4.76,clear sky
315,Yeppoon,AU,-23.1333,150.7333,69.58,75,59,14.03,broken clouds
316,Athabasca,CA,54.7169,-113.2854,68.41,52,96,17.2,overcast clouds
317,Mahebourg,MU,-20.4081,57.7,70.09,68,40,18.41,scattered clouds
318,Yichun,CN,47.7,128.9,74.97,72,44,3.49,scattered clouds
319,Aklavik,CA,68.2191,-135.0107,66.69,52,100,10.25,overcast clouds
320,Gayny,RU,60.3071,54.3241,56.43,97,57,5.26,broken clouds
321,Bereda,ES,43.2686,-7.5406,63.41,100,100,1.54,overcast clouds
322,Kangaatsiaq,GL,68.3065,-53.4641,45.3,88,100,4.88,overcast clouds
323,Mongoumba,CF,3.6415,18.5936,68.86,99,100,2.44,overcast clouds
324,Acatlan,MX,20.15,-98.45,59.34,96,56,5.1,broken clouds
325,Sal Rei,CV,16.1833,-22.9167,75.63,90,100,11.03,overcast clouds
326,Maxixe,MZ,-23.8597,35.3472,66.24,89,0,4.59,clear sky
327,Campbellton,CA,48.0075,-66.6727,64.85,97,100,9.98,overcast clouds
328,Tucurui,BR,-3.7661,-49.6725,80.47,64,100,3.69,overcast clouds
329,Port Blair,IN,11.6667,92.75,79.3,87,100,12.17,moderate rain
330,Coolum Beach,AU,-26.5333,153.1,66.11,91,99,16.6,overcast clouds
331,Hokitika,NZ,-42.7167,170.9667,48.74,94,100,6.22,overcast clouds
332,Derzhavinsk,KZ,51.1,66.3167,75.79,37,97,16.31,overcast clouds
333,Tuy Hoa,VN,13.0833,109.3,78.67,87,100,5.32,light rain
334,Estelle,US,29.8458,-90.1067,88.0,70,75,10.36,broken clouds
335,Zaterechnyy,RU,44.7931,45.2097,68.2,71,100,5.48,overcast clouds
336,Asau,RO,46.4333,26.4,65.95,80,80,3.27,broken clouds
337,Champerico,GT,14.3,-91.9167,78.08,92,100,7.31,overcast clouds
338,Nanpara,IN,27.8667,81.5,79.27,75,91,11.7,overcast clouds
339,San Quintin,MX,30.4833,-115.95,70.7,77,60,9.66,broken clouds
340,Dubna,RU,56.7333,37.1667,49.86,90,48,6.33,scattered clouds
341,Khasan,RU,42.4308,130.6434,72.28,85,68,4.72,broken clouds
342,Guerrero Negro,MX,27.9769,-114.0611,76.3,58,6,15.5,clear sky
343,Atasu,KZ,48.6814,71.6433,74.28,27,0,6.26,clear sky
344,Cayenne,GF,4.9333,-52.3333,76.08,1,0,0.0,clear sky
345,Cuyo,PH,10.8525,121.0086,81.91,76,19,3.67,few clouds
346,Marsh Harbour,BS,26.5412,-77.0636,81.77,78,2,10.16,clear sky
